,infected,dead,infected_min,infected_max,dead_min,dead_max
164,1615,85,657.8606572125642,2573.175520145877,44.68221900355948,125.46004661287546
165,1606,84,654.2058533181657,2558.8736177074707,44.62635231228007,125.30317212987413
166,1597,84,650.5218240475208,2544.4591415181167,44.56965150010062,125.14395516939528
167,1588,84,646.8114897104481,2529.9432277202295,44.511714650102085,124.98126747899602
168,1579,84,643.0778824475353,2515.337467177761,44.452142705125134,124.81398882430418
169,1569,84,639.3241513815105,2500.6539271620295,44.390536370435655,124.64099828214165
170,1560,84,635.5535673709937,2485.9051710996796,44.3264934544083,124.46116676592567
171,1551,84,631.7695273304884,2471.104276261243,44.25960668880037,124.2733509000719
172,1542,84,627.9755580817433,2456.2648492763665,44.189462064189925,124.07638834315703
173,1532,83,624.1753197028252,2441.4010393702633,44.115637709817435,123.8690946417642
174,1523,83,620.3726083430385,2426.5275492240858,44.03770334046703,123.65026167828387
175,1514,83,616.5713584735207,2411.659643370704,43.955220286134576,123.41865775663196
176,1504,83,612.7756445454693,2396.8131540463437,43.86774211317709,123.1730293499443
177,1495,83,608.9896820300884,2382.0044844274457,43.77481583837968,122.91210451397956
178,1486,83,605.2178278167745,2367.250609191612,43.67598373003087,122.63459794931796
179,1477,82,601.4645799486724,2352.5690723506423,43.570785682691,122.33921767465193
180,1467,82,597.7345766772003,2337.9779823134813,43.45876214491033,122.02467325269191
181,1458,82,594.0325948202275,2323.496004146283,43.339457571826024,121.68968548960424
182,1449,82,590.3635474111945,2309.14234900673,43.212424367333774,121.3329975086815
183,1440,82,586.732480629645,2294.936760739288,43.077227273525196,120.95338707929393
184,1432,81,583.1445700065208,2280.8994996281435,42.93344815833865,120.54968006329352
185,1423,81,579.6051159007419,2267.0513233140978,42.7806911459899,120.12076482315697
186,1414,81,576.1195382465958,2253.413464891669,42.618588028793866,119.66560741948165
187,1406,80,572.6933705746521,2240.0076082123114,42.44680389355122,119.18326741020687
188,1398,80,569.332253311872,2226.855860429385,42.26504289081706,118.67291405034015
189,1390,80,566.0419263697436,2213.980721830017,42.07305407119318,118.13384267925025
190,1382,79,562.8282210322611,2201.4050530085815,41.87063720933916,117.56549107294882
191,1374,79,559.6970511584205,2189.1520394457643,41.65764853377723,116.96745553141693
192,1366,78,556.6544037169326,2177.245153566405,41.43400627881057,116.33950646613592
193,1359,78,553.7063286735299,2165.708114358259,41.19969597407261,115.68160325070055
194,1352,77,550.8589282539695,2154.5648446426503,40.954775387394164,114.99390809789153
195,1345,77,548.1183456084833,2143.8394260964437,40.69937903788328,114.27679872995182
196,1339,76,545.4907529058285,2133.5560521331627,40.43372219837784,113.53087961515615
197,1333,76,542.9823388875055,2123.7389787589245,40.158104309762145,112.7569915531216
198,1327,75,540.5992959149511,2114.4124735267205,39.872911734064665,111.95621940370012
199,1321,75,538.3478065445496,2105.6007627197973,39.578619778741015,111.12989776969245
200,1316,74,536.2340296673932,2097.3279769020096,39.275793931087065,110.27961446196733
201,1311,74,534.2640862523908,2089.618094979585,38.96509024927269,109.40721159675286
202,1307,73,532.4440447331679,2082.494886925061,38.64725486499119,108.514784198728
203,1303,72,530.7799060805966,2075.981855319948,38.32312256211443,107.60467620989127
204,1299,72,529.2775886043285,2070.10217587808,37.993614405924525,106.67947383280196
205,1296,71,527.9429125277691,2064.8786371166907,37.65973440839721,105.7419961673593
206,1293,71,526.7815843822259,2060.3335793465517,37.32256522648478,104.79528313252547
207,1291,70,525.799181266716,2056.4888331568445,36.98326290229965,103.8425806979358
208,1289,69,525.0011350208684,2053.365657573644,36.64305066635856,102.8873234847901
209,1287,69,524.392716358895,2050.9846780742478,36.3032118375007,101.93311483035606
210,1286,68,523.9790190131586,2049.3658246419463,35.96508186555003,100.98370444542606
211,1286,67,523.7649439361962,2048.5282700479074,35.63003957511034,100.04296382864811
212,1286,67,523.7551836102352,2048.490368548361,35.299497680887924,99.11485963537527
213,1286,66,523.9542065133511,2049.269595186295,34.9748926564551,98.2034252310176
214,1287,65,524.3662417912805,2050.8824858871553,34.65767404923257,97.31273068941111
215,1289,65,524.9952641836267,2053.344578538236,34.34929334451455,96.44685152491009
216,1291,64,525.8449792529211,2056.6703552405706,34.05119249041522,95.60983647235946
217,1293,64,526.9188089644081,2060.8731859211025,33.76479220353693,94.80567465133203
218,1297,63,528.2198776637377,2065.9652734913016,33.49148018179098,94.03826246965471
219,1300,63,529.7509984990487,2071.95760073603,33.232599356024934,93.31137063589006
220,1305,62,531.5146603328714,2078.8598791139134,32.98943631578533,92.62861166079725
221,1310,62,533.5130151883262,2086.680499647106,32.763210046610126,91.99340823354672
222,1315,61,535.7478662728399,2095.426486074628,32.555061116571764,91.40896285942804
223,1321,61,538.2206566212797,2105.1034504392364,32.36604144837176,90.87822914176377
224,1328,61,540.9324583990733,2115.7155512729837,32.19710481004408,90.40388508165202
225,1335,61,543.883962904188,2127.265454541418,32.049098152270865,89.98830875496012
226,1343,60,547.0754713053426,2139.754297500658,31.9227539134505,89.63355670672291
227,1351,60,550.5068861520716,2153.1816556153026,31.81868340503093,89.34134537886268
228,1360,60,554.1777036902882,2167.5455126786856,31.73737137928941,89.11303585813349
229,1370,60,558.0870070153054,2182.8422342696263,31.679171869790576,88.9496221976515
230,1380,60,562.2334600921599,2199.0665446724997,31.644305381317103,88.85172352760969
231,1391,60,566.615302671083,2216.211507379352,31.632857491257813,88.8195801292117
232,1402,60,571.2303461238971,2234.2685092844704,31.644778908439996,88.85305360090942
233,1414,60,576.0759702249909,2253.2272486729707,31.679887018369463,88.95163119824227
234,1427,60,581.149120898403,2273.075727095835,31.737868926010933,89.1144343784821
235,1440,60,586.4463089503088,2293.8002452142546,31.81828598880593,89.34023152952714
236,1453,60,591.9636098041233,2315.38540268621,31.92057981382514,89.62745480968782
237,1467,61,597.6966642532132,2337.814102157985,32.044079674027046,89.97422097186276
238,1482,61,603.6406802440374,2361.067557412758,32.188011279793656,90.37835599280092
239,1497,61,609.7904357004385,2385.1253057174813,32.35150682348688,90.8374232764169
240,1513,61,616.1402823976262,2409.96522439817,32.53361619697844,91.34875515015987
241,1529,62,622.6841508923312,2435.5635516623493,32.73331926519274,91.90948732596894
242,1545,62,629.415556513538,2461.8949116757094,32.94953906292072,92.51659595303481
243,1562,63,636.3276064161105,2488.9323438883184,33.18115576773573,93.16693684911355
244,1580,63,643.4130076976824,2516.647336593748,33.42702128900367,93.85728646110886
245,1597,64,650.6640765770802,2545.0098646923807,33.68597430192253,94.5843840746218
246,1616,64,658.0727486306478,2573.988431618116,33.95685554643326,95.3449747666918
