,$\beta_1$,$\beta_2$,$\beta_3$,$\beta_4$
946,0.3077639324741801,0.03351175866155196,0.10892061052950833,0.0007711599248082677
947,0.3058203748607993,0.03316762645989719,0.1086331270748089,0.0007842250744480529
948,0.3046186840552849,0.03317603444687596,0.10902895463229692,0.000767154103831905
949,0.3078917102081189,0.03345942811269867,0.10865919162207952,0.0007849860188611959
950,0.3076990165644689,0.0334170604607253,0.10856231670704763,0.0007899023266459057
951,0.3067582810232003,0.03340568471568927,0.10877403478211514,0.0007806660690655568
952,0.30521333094838576,0.03339536403797145,0.10920160655520576,0.0007629154644222597
953,0.3087443003669262,0.03390708986984212,0.10957330298431515,0.000746177801538746
954,0.30536957458445363,0.033226889332298365,0.10884499370081557,0.0007761785285739038
955,0.305609156198649,0.033304395956740215,0.10901732001914104,0.0007679423412730893
956,0.3069675722718869,0.033379873957934174,0.10878246927848069,0.000779654017299383
957,0.30971146371075137,0.03379546798610757,0.10897920594308799,0.0007709683823006533
958,0.3071735330700839,0.03345302485850379,0.10885057978000387,0.0007781379097893174
959,0.30662186104211026,0.03336867265357776,0.10885878791734614,0.0007763601524089212
960,0.3067388484378116,0.03340381844708544,0.10884262476030016,0.0007781724421316406
961,0.3051169640355859,0.033158916670938225,0.10877274827363104,0.0007779761363655481
962,0.30822860606102515,0.03353814934175126,0.10875244672161893,0.0007823314946712177
963,0.30637552341083035,0.033347555015440095,0.10881355470317498,0.0007777464453708493
964,0.30701264651493104,0.03349446269748456,0.10900451983724757,0.0007690794142376007
965,0.3072564818660287,0.03348492868105199,0.10887904878955507,0.0007766569784904869
966,0.3070661294643951,0.03358415910512895,0.10920598923526054,0.0007615819141082252
967,0.3075936964150492,0.033424910399649906,0.10875449535383086,0.0007794234929662184
968,0.30718341123063636,0.03354932181310786,0.10915048779885354,0.0007624274740814572
969,0.30719010702308736,0.03336707225333819,0.10860755147406602,0.0007840201651872344
970,0.30742614386506956,0.0335520627941443,0.10909065936155768,0.0007665171373478278
971,0.3046990731097998,0.03299791674188627,0.10853378303050563,0.0007883139367258331
972,0.3049490556881275,0.03304018223597943,0.1086182974965244,0.0007815595741759083
973,0.30363205810650523,0.03299152318496012,0.10889025478097636,0.0007717684385192564
974,0.30714654569941857,0.033568513164966556,0.10916683054333394,0.0007638363782989356
975,0.3063711817706377,0.03333869007773984,0.10883965707544546,0.0007749222354511531
976,0.3051169640355859,0.033158916670938225,0.10877274827363104,0.0007779761363655481
977,0.30790243906985026,0.03351846211893923,0.10875967077936173,0.0007827634349179154
978,0.3056495394816148,0.03321866851081553,0.1087149345279737,0.0007823739870028862
979,0.30889633527232857,0.03387891776185228,0.10953585716497123,0.0007457943479461052
980,0.30559589545816596,0.03343192371043934,0.10930239734733853,0.0007548694909444737
981,0.3045436663450489,0.032981143807784004,0.10849089863515257,0.0007920134990911805
982,0.3055496705326777,0.03340057938366379,0.1093042161767023,0.0007537295653674615
983,0.3071899880738019,0.03332370972103106,0.1085666811401233,0.0007849993168842611
984,0.30705051029118563,0.033495454905410324,0.10900181742090068,0.00076995041986821
985,0.30757159695213493,0.03336163506715523,0.10861412268304294,0.000781826970567831
986,0.304573009465291,0.03334848436581787,0.10931820006271044,0.000756180570835992
987,0.3052872711829376,0.03312017668542576,0.10858998055370708,0.00078660738079904
988,0.3091029463164144,0.0337489624292393,0.10898965410777577,0.0007720045370264379
989,0.30840172209840044,0.03338101651061093,0.10831401394387502,0.0007992423083191032
990,0.30776337833814565,0.0334496639190482,0.10867338707597829,0.0007854857351469447
991,0.30507532477737037,0.03321925364025122,0.10898236969332283,0.0007660020428097809
992,0.30735392481082974,0.033543002719129876,0.10919234063442958,0.0007591510825752776
993,0.3061373078051848,0.03353690405733817,0.10939493137274531,0.0007528457703293847
994,0.30767198679384955,0.03348185536976374,0.10883547482746173,0.0007775113434006808
995,0.3058156162873376,0.03345597047041116,0.10938373004977768,0.0007504513244016832
996,0.3064850680260232,0.03342018088763538,0.10909292694998272,0.0007641262489974283
997,0.312265994639864,0.03418379193620263,0.10922754899960377,0.0007627733562245794
998,0.30776237172961124,0.03361739765877331,0.10902918038944864,0.0007724987364910447
999,0.3079967546827774,0.033576078650981556,0.10901896693193544,0.0007695144201290156
1000,0.3050177685916699,0.033203096132345865,0.10883916650418315,0.0007784050198227067
1001,0.30697301035092905,0.033502687884453326,0.10901369601305701,0.000770050739393197
1002,0.306333556672481,0.03358553571186094,0.10938597479824502,0.0007539503215687024
1003,0.3062689160165696,0.033393411934117566,0.10893895785488789,0.0007738699451582341
